District Name,Dates Closed,School Meal Alternative,When & Where Meals Are Available,
Cypress-Fairbanks ISD,March 13 - April 9,Curbside Meal Pickup (Breakfast &Lunch),"Start Date: 3/16
 When: Breakfast 7:30 - 9:00 AM, Lunch 11:00 AM - 1:00 PM & Dinner 4:00 PM - 6:00 PM
 Where: Arnold MS, Bane ES, Cy Creek HS, Cy Lakes
 HS, Cy Park HS, Cy Ridge HS, Cy Springs HS, Danish ES, Francone ES, Frazier ES, Holbrook ES, Horne ES, Kirk ES, Langham Creek HS, Thornton MS. 
 Details:  Goodson MS will be added Tuesday (March 17) Children 18 or younger must be present to recieve meals but it is not dependent on where the student is enrolled",https://cfisd-superintendent.blogspot.com/2020/03/covid-19-update-031320.html?fbclid=IwAR0VRWAQNPTvcpNiY2PGHfhHqpZVgS6Jt2uoWM4Q5nBQOE-tUH5ue8X36LU
Daingerfield-Lonestar ISD,March 16 -20,,,https://www.dlsisd.org/apps/news/article/1184745
Dallas ISD,Indefinitely,Walk-In Meal Pickup (Morning Snack & Lunch),"Start Date: 3/16
When: Morning Snack 9:00 AM –9:30 AM ; Lunch 12:30 AM – 1:00 PM 
Where: William A. Blair Elementary, Felix Botello Elementary, Nancy Cochran Elementary, Billy Earl Dade Middle School, Charles A. Gill Elementary, Lenore Kirk Hall Elementary, Harold Lang Middle School, Umphrey Lee Elementary, Lincoln High School, L.G. Pinkston High School, K.B. Polk Elementary, Rosemont Upper, Julian Saldivar Elementary, Seagoville North Elementary, Sam Tasby Middle School, Thomas C. Marsh Preparatory Academy, Wilmer-Hutchins Elementary, Young Men’s Leadership Academy, Whitney Young Elementary, Ignacio Zaragoza Elementary
Details:  We serve meal to Dallas ISD students through the age of 18, and 19 years old if the student 19 during the current school year (on or after the first day of school), and to students with disabilities without regard to age. Students can pick up the meals and eat them off site. Spring Meals are subject to change, so please watch the webpage for updates and locations.
",https://www.dallasisd.org/Page/52614
Damon ISD,March 16-20,Unknown,,
Danbury ISD,March 16 -20,None ," DISD does not meet the criteria required to provide meals to our students with federal funds, we are working together with Angleton ISD.

Angleton ISD Child Nutrition Department will offer a free meal to ALL children 18 or younger, including Danbury ISD children.  Child(ren) must be present when meals are picked up.  They have added another route to their schedule. ",
Dawson ISD,March 16-20,,,https://www.dawsonisd.net/apps/news/article/1182738
Dayton ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
 When: 9:30 AM - 12:30 PM
 Where: Dr. E. R. Richter Elementary School
 Details:  Parents/Guardians are asked to use the bus loop entrance off of Cherry Creek. Drivers can form a car-rider line in back of the school where the buses normally drop off students. Students must be present in the car in order to take a meal. These Grab-N-Go meals are free to any Dayton ISD student 18 years of age and under. Dayton ISD employees will deliver the meals to each car.",https://s3.amazonaws.com/scschoolfiles/552/grab_and_go_meals_engspan.pdf
Deer Park ISD,March 16-April10,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
 When: Varies by loction
 Where: 
CARPENTER ELEMENTARY 5002 W Pasadena Blvd, Deer Park, TX 77536 (Use the parent drop-off lane/north entrance off Pasadena Boulevard between Bonnette Junior High and old Carpenter Elementary) Beginning Monday, March 23 10:30 a.m.-12:30 p.m.

 DEER PARK HIGH SCHOOL-NORTH CAMPUS 402 Ivy Ave, Deer Park, TX 77536 (Use the student pick-up lane near the school library off Ivy Avenue and East Fourth Street) Beginning Wednesday, March 25 10:30 a.m.-12:30 p.m.

 HOUSTON LEISURE RV RESORT 1601 S Main St, Highlands, TX 77562 Beginning Monday, March 23 10:30-11:15 a.m.

 PIEDMONT APARTMENTS 7510 Decker Dr, Baytown, TX 77520 Beginning Monday, March 23 11:30 a.m.-12:15 p.m. 

DEEPWATER ELEMENTARY 309 Glenmore Dr, Pasadena, TX 77503 (Use the bus lane/north entrance off Meadowlake Road) Beginning Monday, March 23 10:30 a.m.-12:30 p.m.",https://www.facebook.com/dpisd
Del Valle ISD,March 23-April 5,Pending,,https://www.dvisd.net/coronavirus/
Denison ISD,March 16- April 3,Walk-In Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 7:30 AM –9:30 AM ; Lunch 11:00 AM – 1:30 PM 
Where: Scott Middle School  (1901 S. Mirick Avenue) , B. McDaniel Intermediate (400 Lillis Lane), Lamar Elementary (1000 S. Fifth Avenue), Terrell Elementary (230 W. Martin Luther King)
Details:  All Denison ISD students are welcome to participate in this free breakfast and lunch program.
",https://www.denisonisd.net/covid-19
Denton ISD,March 16 - April 3,"Walk-In Meal Pickup (Breakfast & Lunch)

","Start Date: 3/17
When: Breakfast 8:00 AM –9:00 AM ; Lunch 12:00 PM – 1:00 PM 
Where: Bell Elementary, Alexander Elementary, Nelson Elementary, Ginnings Elementary, Cross Oaks Elementary, Evers Park Elementary, Harpool Middle School, Rivera Elementary, Navo Middle School, Borman Elementary, Hodge Elementary, Calhoun Middle School, Pecan Creek Elementary, McMath Middle School, Myers Middle School
Details:  Any student is eligible for service and a student ID is not required. Please use the caferteria entrance at each campus. All other entrances will be closed. The meals will be served ""Carry-Out"" style to discourage congregating. This service will continue each weekday until campuses reopen to students. Check the website for times and locations.

***Beginning March 19, Denton ISD will begin delivering lunches via school bus to 15sites ***",https://www.dentonisd.org/meals?fbclid=IwAR1l6BA7KVphKcvTcy38Qv1PwslqIHwjiFvfTb8ZMQyp48ixxPsLojWOEQI
DeSoto ISD,Indefinitely,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
When: 9:00 AM – 1:00 PM
Where: The Meadows Elementary, Frank D. Moates Elementary, DeSoto High School (Freshman Side), 
Woodridge Elementary and Amber Terrace DDC (Food Truck)
Details:  The packaged meals will be distributed from 9 AM to 1 PM on Monday through Friday in a drive-thru fashion. No one will need to exit their personal vehicles, but all participating children must be in the vehicle. Children do not have to be a student at the campus to qualify for the meal, and families can visit any of the participating sites.
","www.DeSotoISD.org/Coronavirus.
https://www.dentonisd.org/meals?fbclid=IwAR1l6BA7KVphKcvTcy38Qv1PwslqIHwjiFvfTb8ZMQyp48ixxPsLojWOEQI"
Detriot ISD,March 16-20,,,https://www.detroiteagles.net/17495?articleID=50285
D'Hanis ISD,March 16-20,Grab and Go,"Start Date: 3/17
When: Breakfast 7:30 AM – 8:30 AM ; Lunch 11:00 AM – 12:00 PM
Where: Cafeteria
Details: This service will be a “grab and go” process, where staff will deliver a bag to your car as you stop by the cafeteria doors on the east side of the cafeteria. Lunch will work the same way, as you can come by and a bag will be delivered by staff to your car. We are prohibited from having students in the cafeteria during this shutdown.
",
Diboll ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16 
When & Where: 
Diboll Primary Campus: 11:00 AM to 12:30 PM
Diboll Housing Authority: 11:00 AM
Lyndon B. Johnson Bus Stop: 11:00 AM
Sherwood Forest Circle at the beginning of the circle: 11:30 AM
Porter Loop at the first entrance: 11:30 PM
Silva Road at the church parking lot: 11:45 PM
Louie Cheatham Loop: 11:50 AM
Details:  Anyone 18 years or younger may participate. Each person will receive a grab and go lunch and a breakfast for the next morning
",http://www.dibollisd.com/apps/news/article/1185759
Dickinson ISD,March 16- April 10,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
 When: 11:00 AM - 12:00 PM
 Where: Dickinson High School
 Details:  Meals set up in the drop-off/parking area on the Owens Drive side of Dickinson High School.You do not have to be a Dickinson ISD student to receive a meal. You will receive both meals at one time. ",https://www.facebook.com/dickinsonschools
Douglas ISD,March 16-20,,,https://www.douglassisd.com/
Duncanville ISD,March 16-Indefinite,,,https://www.duncanvilleisd.org/Page/16336
Eagle Mountain-Saginaw ISD,March 16- April 7,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
 When: 11:00 AM - 1:00 PM
 Where: Northbrook Elementary, Gilland Elementary, Saginaw Elementary, Dozier Elementary, Highland Middle School, Marine Creek Middle School 
 Details:  Students 18 or younger will be served. We will bundle lunch and breakfast together for pick up between 11 am- 1 pm on weekdays so that students get lunch for the current day and willalready have their breakfast for the next morning. ",https://www.emsisd.com/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=13660&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=84914&PageID=1
Eagle Pass,March 16-20,,,https://www.eaglepassisd.net/covid19
Early ISD,March 16-20,,,
East Central ISD,March 16-20,,,
East Chambers ISD,March 16-20,Curbside Meal Pickup (Breakfast & Lunch & Dinner),"Start Date: 3/16
 When: Breakfast 7:15 AM - 10:00 AM (can pick up breakfast and lunch) & Lunch 11:00 AM - 1:00 PM & Dinner 4:30-5:30
 Where: East Champers ISD-- outside the Dome Cafeteria/shelter
 Details:  You may drive through the connecting road between Buccaneer and School Road where the Dome Cafeteria. We will provide curbside service supplying you with a breakfast and a lunch for each of your children from 1-18 years old. For those who cannot come during this time, we will serve lunch only between 11:00 A.M. and 1:00 P.M. using the same procedures.",https://www.eastchambers.net/News/11659#sthash.PyoiUOcl.dpbs
Ector County ISD,March 16-27,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: Breakfast 7:30 AM – 9:00 AM ; Lunch 11:30 AM – 1:00 PM
Where: Odessa High School, Permian High School, New Tech Odessa, Bonham Middle, Bowie Middle, Crockett Middle, Wilson Young Medal of Honor Middle, Nimitz Middle, Ector College Prep Academy, Alamo Elementary, Austin Elementary, Burleson Elementary, Burnet Elementary, Cameron Elementary, Dowling Elementary, Goliad Elementary, Gonzalez Elementary, Hays Elementary, Sam Houston Elementary, Ireland Elementary, Lamar Early Education, Pease Elementary, Reagan Elementary, Ross Elementary, San Jacinto Elementary, Travis Elementary, Zavala Elementary, Noel Elementary, Blanton Elementary, Murry Fly Elementary, Blackshear/Milam/Carver, Johnson Elementary, Jordan Elementary, Cavazos Elementary, EK Downing Elementary, Buddy West Elementary, Lee Buice Elementary
Details: This program and these meals are for students only. Families can pick up meals for all children under the age of 18, or under the age of 21 for youth with special needs. Children must be present in order for meals to be provided. The meals will be provided at the main entrance of each participating campus. Parents are asked to remain in their vehicle when they pull up. We will deliver the meals to vehicles. 
",https://www.ectorcountyisd.org
Edcouch-Elsa ISD,March 16-20,,,
Eden ISD,March 16-20,Walk-In Meal Pickup (Breakfast & Lunch),"Start Date: 3/18
When & Where: 
Elementary Café: 10:00 AM – 11:00 AM
JH/HS: 11:30 AM – 12:30 PM
",http://www.edenisd.net
Edinburg C.I.S.D.,March 16-20,,,https://www.earlyisd.net
Elgin ISD,March 16 - April 5,,,https://www.elginisd.net/cms/lib6/TX01917830/Centricity/Domain/4/20200316%20Covid19_Parents.pdf
El Paso Academy,March 23 - April 5,,,https://www.elpacademy.com/
El Paso ISD,March 16-April 3,Unspecified,"School District: El Paso ISD
Start Date: 3/23
When: TBA
Where: TBA
Details:. 
",
El Paso Leadership Academy,March 23-27,Yes - Unspecified ," EPLA will move forward with an extended Spring Break through Friday, March 27th with an anticipated return date on Monday, March 30th. Please visit our website, pick up those pesky robocalls, visit our app and our Facebook page for continued updates where we will provide more details on EPISD schools that any child between the ages of 1 and 18 can visit to pick up breakfast and/or lunch during the extended school closure",http://www.epleadershipacademy.org/el-paso-leadership-academy-epla-regarding-covid-19-coronavirus/
Ennis ISD,March 16-20,,,https://www.ennis.k12.tx.us/
Etoile ISD,March 16-20,,,http://www.etoile.esc7.net/?PageName=LatestNews&Section=LatestNews&ItemID=557476&ISrc=School&Itype=News
Eustace ISD,March 16-20,,,https://www.eustaceisd.net/
Evant ISD,March 16-20,,,
Everman ISD,March 16- April 3,Grab and Go (Lunch),"Start date: 3/17
When: 11:30 AM- 1:00 PM
Where: E. Ray Elementary (Back parking lot); Everman High School (Back door cafeteria); Bishop Elementary (Front of the building)
Details: For all children 18 and under. No student ID required. Lunch bags wil be available during allotted times. Students must be present to receive the meal.",https://www.eisd.org/
Excelsior ISD,March 16-20,,,https://excelsiorisd.weebly.com/
Fabens ISD,March 23-April 4,Walk-In Meal Pickup (Breakfast & Lunch),"Start Date: 3/23
When: Breakfast 7:30 AM – 9:00 AM ; Lunch 11:00 AM – 1:00 PM
Where: Fabens High School Cafeteria 
Details: Breakfast and lunch will be provided to all students and children 18 years old and younger. Meals can be picked up at Fabens High School Cafeteria.  
",https://www.fabensisd.net/
Falls City ISD,March 16-20,,,https://www.fcisd.net/
FairField ISD,March 16-20,,,https://www.fairfieldisd.net/
Fort Bend ISD,March 16-April 10,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/16
 When: Breakfast 7:30 AM - 9:00 PM & Lunch 11:30 AM - 1:00 PM
 Where:  
Ridgegate Elementary (6015 West Ridgecreek Dr., Houston, 77053)
Briargate Elementary (15817 Blue Ridge Rd., Missouri City, 77489)
Blue Ridge Elementary (6241 McHard Rd., Houston, 77053)
Heritage Rose Elementary (636 Glendale Lakes Dr., Rosharon, 77583)
Burton Elementary (1625 Hunter Green Ln., Fresno, 77545)
Goodman Elementary (1100 West Sycamore, Fresno, 77545)
Rosa Parks Elementary (19101 Chimney Rock Rd., Fresno, 77545)
Ridgemont Elementary (4910 Raven Ridge Dr., Houston, 77053)
Lantern Lane Elementary (3323 Mission Valley Dr., Missouri City, 77459)
Armstrong Elementary (3440 Independence Blvd., Missouri City, 77459)
Mission Glen Elementary (16053 Mission Glen Dr., Houston, 77083)
Mission Bend Elementary (16200 Beechnut, Houston, 77083)
Travis High School (11111 Harlem Rd, Richmond, TX 77406)
Hodges Bend Middle School (16510 Bissonnet St, Houston, TX 77083) 
Kempner High School (14777 Voss Rd, Sugar Land, TX 77498)
Sartartia Middle School (8125 Homeward Way, Sugar Land, TX 77479) 
First Colony Middle School (3225 Austin Pkwy, Sugar Land, TX 77479)
Dulles High School (550 Dulles Ave, Sugar Land, TX 77478)
Missouri City Middle School (202 Martin Ln, Missouri City, TX 77489)
Elkins High School (7007 Knights Ct, Missouri City, TX 77459)
Ridge Point High School (500 Waters Lake Blvd, Missouri City, TX 77459)
McAuliffe Middle School (16650 S Post Oak Rd, Houston, TX 77053)
Hightower High School (3333 Hurricane Ln, Missouri City, TX 77459)",https://www.facebook.com/FortBendISD/
Fort Worth ISD,March 16- April 10,Walk-In Meal Pickup (Breakfast & Lunch),"Start Date: 3/18
When & Where:
 Springdale Elementary School: 10:00 AM – 11:30 AM
Manual Jara Elementary School: 12:00 PM – 1:30 PM
Western Hills Elementary School: 10:00 AM – 11:30 AM
Hubbard Heights Elementary School: 12:00 PM - 1:30 PM
Paul L. Dunbar High School: 10:00 AM – 11:30 AM
Eastern Hills High School: 12:00 PM – 1:30 PM
Clifford Davis Elementary School: 10:00 AM – 11:30 AM
De Zavala Elementary School: 12:00 PM – 1:30 PM 
Polytechnic High School: 10:00 AM – 11:30 AM 
Details: Breakfast and lunch will be provided to all students and children 18 years old and younger. The breakfast picked up is intended to be breakfast for the next day.   

",https://www.fwisd.org/site/default.aspx?PageType=3&DomainID=6638&ModuleInstanceID=1326&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=60848&PageID=23622
Frankston ISD,March 16-20,,,https://www.frankstonisd.net/
Friendswood ISD,March 16-April 10 ,Curbside Meal Pickup (Breakfast & Lunch),"** Meals are for students who already qualify for free and reduced price lunches.**            
 Start Date: 3/16
 When: 10:30 AM - 12:30 PM
 Where: Bales (221 Stadium Lane)
 Details:  Meals consist of a packaged lunch and a breakfast meal for the next day. ",https://myfisd.com/covid-19/
Frisco ISD,March 16- April 3,"Meal Pickup
(Breakfast & Lunch)","Start Date: March 16
When:11:30 AM - 12:30 PM
Where:Hunt Middle School, Lawler Middle School, Pearson Middle School, Roach Middle School, Scoggins Middle School, Trent Middle School
Details: Frisco ISD will be providing FREE “To Go” meals to all Frisco ISD students at the following locations. A packaged lunch for the day will be provided as well as a breakfast for the following day. Interested in participating in this program? Visit bit.ly/fisdmeals to RSVP at a location!
*Meals can be picked up at each campus' main entrance by the flag pole.",https://docs.google.com/forms/d/e/1FAIpQLSesmr4h7Ow70T-fDECCfXGREegA-bzMiwI69OMXcqE_aYTaHw/viewform?fbclid=IwAR1KbucVYkybGM9vo6B_QMV1Ycg4ZFoc1H7QKSTfLUYgXBUK6UYYWPBBen0
Ft. Hancock ISD,March 23-27,,,http://www.fhisd.net/cms/One.aspx?portalId=252566&pageId=13219014&fbclid=IwAR0tB5zE5f-ogfS36tREWrZSPD41O-dvtTUbt-UeFqW2i0UQNfj_hYRhu3o 
Galena Park ISD,March 16 - April 10,Curbside Meals (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 7:30 AM -  9:00 AM & Lunch 10:45 AM - 12:15 PM
Where: Woodland Acres Elementary, Sam Houston Elementary, Dr. Shirley J. Williamson Elementary, North Shore Middle School
Details: Meals will be distributed near the bus ramp of each designated campus",https://www.galenaparkisd.com/
Galveston ISD,March 16- April 10,Curbside meals (Breakfast & Lunch),"Start Date: 3/16
When: 11:00 AM - 12:30 PM Breakfast & Lunch for three days 
Where: Mondays: Ball High School 4115 Ave., Crenshaw School 416 Hwy 87, & Collegiate; Thursdays: Central MS 3013 Sealy Ave                                                                                                                                ",https://www.gisd.org/site/Default.aspx?PageID=10885
Garland ISD,March 16- April 3rd ,Curbside and Walk-In Meal Pickup,"Start Date: 3/17
When: Breakfast 8:00 AM – 9:00 AM ; Lunch 12:00 PM – 1:00 PM 
Where: Back Elementary School, Coyle Middle School, Dorsey Elementary School, Giddens-Steadham Elementary School, Liberty Grove Elementary School, Rowlett Elementary School, Bradfield Elementary School, Bullock Elementary School, Bussey Middle School, Carver Elementary School, Cisneros Prekindergarten School, Classical Center at Brandenburg Middle School, Classical Center at Vial Elementary School, Daugherty Elementary School, Garland High School, GISD Alternative Education Center, Hickman Elementary School, Hillside Academy for Excellence, Houston Middle School, Jackson Technology Center for Math & Science, Lakeview Centennial High School, Lister Elementary School, Lyles Middle School, Naaman Forest High School, North Garland High School, Northlake Elementary School, O'Banion Middle School, Sellers Middle School, South Garland High School, Southgate Elementary School, Toler Elementary School,Webb Middle School
Details: Students or families may walk up or remain in their cars to pick up meals curbside at the front of designated campus sites. One meal will be provided for each child who is present and under 19 years of age.
",https://www.garlandisd.net/node/11257#CV19meals
Gatesville ISD,March 16-20,"Walk-Up Meal Pickup (Breakfast, Lunch & Supper)","Start Date: 3/16
When: Breakfast 8:00 AM ; Lunch 12:00 PM ; Supper 4:00 PM
Where: Primary and Elementary Campus Parking Lots
Details: Students in any grade may go to either of those locations and receive a sack meal. 
",https://www.facebook.com/pg/Gatesvilleisd/posts/?ref=page_internal
Georgetown ISD,March 15-April 3,,,https://www.georgetownisd.org/coronavirus
Giddings ISD,March 16-20,,,https://www.giddingsisd.net/article/208727?org=giddings-isd
Gilmer ISD,March 16-20,,,https://www.gilmerisd.org/
Gladewater ISD,March 16-27,,,http://www.gladewaterisd.com/page/article/230
Goose Creek CISD,March 16-April 10,Walk-In Meal Pick up (Breakfast & Lunch),"Start Date: 3/17
When: 10:00 AM - 1:00 PM
Where:Alamo, Ashbel Smith, Austin, Bañuelos, Bowie, Carver, Clark, Crockett, Harlem, Highlands, Lamar, San Jacinto and Travis elementaries; Cedar Bayou, Gentry and Horace Mann junior schools and Goose Creek Memorial, Lee and Sterling high schools.
",
Grand Prairie ISD,March 17-20,Curbside Meal Pickup (Breakfast & Lunch),"***Planning to consolidate the pickup locations to 11 feeding sites starting March 23. Communicaton coming soon about the revision***
Start Date: 3/17
When: Breakfast 7:00 AM – 8:00 AM ; Lunch 10:30 AM – 12:00 PM
Where: Not Specified
Details: Beginning Tuesday, March 17, free healthful meals will be available to all children ages 0-18 years at all 34 GPISD schools. Meals will be served in a drive-through fashion. Parents will not need to exit their personal vehicle. Children do not have to be students at the campus to qualify for the meal and families can visit any of the participating sites. Any child 0-18 is eligible for a meal.
",https://www.gpisd.org/HealthUpdates?fbclid=IwAR3ui_hubtt2ISC_zxrUVw0ffLAHZhc76siCwPZQm0D5REBboRO2qUJ7ins
Grand Saline ISD,March 16-20,,,http://www.grandsalineisd.net/page/article/17
Grape Creek ISD,March 16-27,Walk-In Meal Pickup & Bus Delivery Routes (Breakfast & Lunch),"Start Date: 3/16
When: Breakfast 8:00 AM – 9:00 AM ; Lunch 11:30 AM – 12:30 PM
Where: Grape Creek Elementary, Grape Creek Middle, Grape Creek Administration Parking Lot 
Bus Routes 1, 2, 4, 5, 6, 10 
Details: Regular education routes (1, 2, 4, 5, 6, 10) will stop by regular pick-up and drop-off addresses with a driver and at least one aide/food service worker to manage the distribution of meals. For houses with students who are not regular riders, the district will contact them the day before to provide an approximate time busses will be at their address. Students and children that live within two miles of the school may pick up food at one of the distribution locations. Children must be present to receive the meals, but everyone is encouraged to take advantage of the free service
",http://www.grapecreekisd.net
Grapeland ISD,March 16-20,,,
Grapevine-Colleyville ISD,March 16 - April 3,"Curbside Meal Pickup (Breakfast, Snacks & Lunch)","Start Date: 3/16
When: Lunch 11:00 AM – 12:00 PM
Where: Grapevine Middle School, Timberline Elementary, and Bear Creek Elementary School
Details: Bagged lunch, breakfast, and snack items will be provided for anyone 18 years and younger. Meals will be available at the front of the school in the bus pick-up/drop-off area. Students must be present to receive lunch. Over the next several days, GCISD will continue to evaluate if there is a need for additional meal sites. For more information, please email child.nutrition@gcisd.net or call 817-251-5615
",https://www.gcisd.net/cms/One.aspx?portalId=96313&pageId=29559978
Grosebeck ISD,March 16-27,Pending,Campuses will be contacting students and parents to discuss instructional support and food service opportunities during this time of closure.,https://www.groesbeckisd.net/
Gunter ISD,March 16 - April 3,"Curbside Meal Pickup
(Breakfast & Lunch)","Start Date: 3/16
When: Mon - Fri 11:00 am - 1:00 pm
Where: Drive through elementary school car line
Details: Will include lunch for that day and breakfast for the next day.",https://www.gunterisd.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=3758&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=6217&PageID=1
Hallsville ISD,March 16-20,Walk-Up Meal Pickup (Lunch Only),"Start Date: 3/16
When: Lunch 10:00 AM – 12:00 PM
Where: Hallsville High School (616 Cal Young Rd, Hallsville, TX 75650)
Details: Hallsville ISD will be handing out sack lunches in front of Hallsville High School for students. PLEASE HAVE YOUR STUDENT ID NUMBERS when picking up lunches. 
",https://www.hisd.com/Page/8249
Hardin ISD,March 16-20,Unknown,,
Harlandale ISD,March 16-20,,,
Harleton ISD,March 16-27,,,https://www.hisd.com/Page/8249
Harmonay Science Academy - ALL Statewide,March 16-30,,60 Campuses across state - no meal info on site,https://www.harmonytx.org/apply/?gclid=CjwKCAjwgbLzBRBsEiwAXVIygHMPgEnWwQ_wrMs9N4VNAgoLwd6ge8_pQoN5iGM1zUJgeKo544C4RRoC_gsQAvD_BwE
Harmony ISD,March 16-20,,,https://www.harmonyisd.net/
Hays CISD,March 16-April 5,,The district will continue to provide meal service to students on free and reduced lunch plans. Information will be forthcoming on how meal distribution will occur. Meal service will begin no later than March 25th.      ,https://www.hayscisd.net/Page/11181
Hempstead ISD,March 16-April 10,Curbside Meal Pickup (Breakfast & Lunch) & Mobile Meals ,"Start Date: 3/16
When: 9:00 AM - 11:30 AM
Where: Hempstead Elementary
Mobile meals: Monday & Wednesday at the following locations:
9:00 am – 10:10 am
Monaville Site:  Shell Gas Station on Richard Frey Road/FM 359
West Road Site:  Bus Stop Area
10:25 am – 11:30 am
The Park @ Clear Creek Apartments – Location by the Apartment Sign
Levi Lane Site:  Bus Stop Area
Detail: each child will receive 2 meals on Mondays and 3 meals on Wednesdays at the moblie site. Please stay in your vechiles and children must be present ",
Henderson ISD,March 16-24,,,
Hitchcock ISD,March 16-20,Meal Drop off ,"Start Date: 3/16
When: Lunch 10:30 AM - 11:30 AM & Second Lunch 2:30 PM - 3:30 PM
Where: KFHS Parking Lot, Crosby Middle School (by the cafeteria), Bent Oaks Apartments, The Life at Emerald Oaks, The Village Apartments, Galilee Missionary Baptist Church, Joe Moore Park, & The corner of Heron & Highland Dr. 
Details:  A bus will be parked in front of each location ",https://www.hitchcockisd.org/
Hondo ISD,Marh 23-27,"Yes, Unspecified","Student meals will continue to be provided for breakfast and lunch, using the same delivery method currently in place. Please see the district website for specifics on times and location.",https://www.hondoisd.net/
Honey Grove ISD,March 16 - April 3,"Curbside Meal Pickup and Delivery
(Breakfast and Lunch)","Start Date: 3/16
When: Breakfast/Lunch 9:30 AM - 11:00 AM 
Where: Elementary School
Details:  Child must be present for pickup. Drive thru the elementary pick up line. 

***We are trying to reach out to families that are having a hard time getting up to the school to receive meals. It doesn’t matter how you usually pay for the meals, during this time your are eligible for free meals. We are looking at delivering meals to families that have no way of getting up here. If you would like some meals and fall in this category please call the school. You will tell Mrs. Jamie where you live and how many are in the household. We will compile the information and see what is the best way to get the meals to you. Please call as soon as possible.***

903-378-2264 ext 405 ",https://www.honeygroveisd.net/
Houston ISD,March 13- April 10th ,,Meal service Suspended ,https://www.houstonisd.org/healthalerts
Huffman ISD,March 13- April 10th ,Curbside Meal Pick up ( Breakfast & Lunch),"Start Date:3/16
When: 7:30 - 8:30 & 11:00 - 1:00
Where: HES in the back at Copeland cafeteria area ",https://www.huffmanisd.net/
Hughes Springs ISD,March 16-20,,,https://www.hsisd.net/page/COVID19
Hull-Daisetta ISD,March 16-20,Unknown,,
Humble ISD,March 16-April 10,Curbside Meal Pickup (Breakfast & Lunch),"Start Date: 3/17
When: 10:00 AM - 11:00 AM Tuesday - Friday 
Where: Elm Grove Elementary School, Oaks Elementary School, Ridge Creek Elementary School, River Pines Elementary School, Humble Middle School, and Ross Sterling Middle School
Details:  Reservations are not required but are appreciated. They can be submitted through the school website.  ",https://www.humbleisd.net/site/default.aspx?PageType=3&ModuleInstanceID=174671&ViewID=7b97f7ed-8e5e-4120-848f-a8b4987d588f&RenderLoc=0&FlexDataID=355948&PageID=111376
Huntington ISD,March 16-20,,,https://www.huntingtonisd.com/apps/news/article/1184419
Hurst-Euless-Bedford ISD,March 16 - April 3,"Curbside Meal Pickup 
(Breakfast & Lunch)","Start: 3/16
When: Breakfast: 8:00 AM - 9:00 AM; Lunch:11:00 AM - 12:00PM
Where: Bellaire Elementary, Midway Park Elementary, Oakwood Terrace Elementary, Stonegate  Elementary, West Hurst Elementary, Hurst Junior High
Details: HEB ISD will offer free breakfast and lunch for all children, age 18 or younger, at six school sites during the District's closure. One meal will be provided for each child present. Grab & Go meals will be served curbside at these locations. Parents and children in the drive-up lanes must remain in their cars while pickin up meals. Walk-up service will also be provided for studetns who do not have transportation available. Meals will be available Monday - Friday, for any child, 18 or younger, at the following above campuses. 
",https://www.hebisd.edu/coronavirus?fbclid=IwAR1OzK5Tmb6-Hqax4AOKWTrVhrOBqb6PXmB0VDKjDUNSXf2vZ-dTRlzPNbc
Irion County ISD,March 16-27,,,https://www.irion-isd.org
Irving ISD,March 24 - April 3,"Curbside Meal Pickup
(Lunch)","***Breakfast to be added Wednesday, March 25***
Start: 3/24
When: 10:00 AM -1:00 PM
Where: Bowie, Crockett, Houston and Lamar Middle Schools as well as Keyes and Lee Elementary Schools
Details: Free ""grab and go"" lunches will continue to be served beginning Tuesday, March 24 for students ages 18 and under in a drive through style. Pick up times start an hour earlier than previously announced and will be from 10 AM - 1 PM. Beginning Wednesday, March 25, we will start serving both breakfast and lunch in a ""grab and go"" fashion.  
",https://www.irvingisd.net/coronavirus
Italy ISD,March 16-27,Pending,"We also know that many of our children rely on breakfast and lunch programs to receive healthy and nutritious meals. We will be working with our child nutrition department to offer “on the go” meals for families who are in need. More information about location and time will be forthcoming.

In an effort to stay informed and receive the latest information, please continue to check your email and IISD social media daily. We will work diligently to provide you accurate and factual information. ",http://www.italyisd.org/news/spring-break-extended-through-march-20
Jacksboro ISD,States Closed - NO DATES,,,https://www.jacksboroisd.net/
